CCY,EXPONENT,IS_CRYPTO
AED,2,False
AFN,2,False
ALL,2,False
AMD,2,False
ANG,2,False
AOA,2,False
ARS,2,False
AUD,2,False
AWG,2,False
AZN,2,False
BAM,2,False
BBD,2,False
BDT,2,False
BGN,2,False
BHD,3,False
BIF,0,False
BMD,2,False
BND,2,False
BOB,2,False
BOV,2,False
BRL,2,False
BSD,2,False
BTC,8,True
BTN,2,False
BWP,2,False
BYN,2,False
BYR,0,False
BZD,2,False
CAD,2,False
CDF,2,False
CHE,2,False
CHF,2,False
CHW,2,False
CLF,4,False
CLP,0,False
CNY,2,False
COP,2,False
COU,2,False
CRC,2,False
CUC,2,False
CUP,2,False
CVE,2,False
CZK,2,False
DJF,0,False
DKK,2,False
DOP,2,False
DZD,2,False
EEK,2,False
EGP,2,False
ERN,2,False
ETB,2,False
ETH,8,True
EUR,2,False
FJD,2,False
FKP,2,False
GBP,2,False
GEL,2,False
GGP,2,False
GHC,2,False
GHS,2,False
GIP,2,False
GMD,2,False
GNF,0,False
GTQ,2,False
GYD,2,False
HKD,2,False
HNL,2,False
HRK,2,False
HTG,2,False
HUF,2,False
IDR,2,False
ILS,2,False
IMP,2,False
INR,2,False
IQD,3,False
IRR,2,False
ISK,0,False
JEP,2,False
JMD,2,False
JOD,3,False
JPY,0,False
KES,2,False
KGS,2,False
KHR,2,False
KMF,0,False
KPW,2,False
KRW,0,False
KWD,3,False
KYD,2,False
KZT,2,False
LAK,2,False
LBP,2,False
LKR,2,False
LRD,2,False
LSL,2,False
LTC,8,True
LTL,2,False
LVL,2,False
LYD,3,False
MAD,2,False
MDL,2,False
MGA,2,False
MKD,2,False
MMK,2,False
MNT,2,False
MOP,2,False
MRO,2,False
MUR,2,False
MVR,2,False
MWK,2,False
MXN,2,False
MXV,2,False
MYR,2,False
MZN,2,False
NAD,2,False
NGN,2,False
NIO,2,False
NOK,2,False
NPR,2,False
NZD,2,False
OMR,3,False
PAB,2,False
PEN,2,False
PGK,2,False
PHP,2,False
PKR,2,False
PLN,2,False
PYG,0,False
QAR,2,False
RON,2,False
RSD,2,False
RUB,2,False
RUR,2,False
RWF,0,False
SAR,2,False
SBD,2,False
SCR,2,False
SDG,2,False
SEK,2,False
SGD,2,False
SHP,2,False
SLL,2,False
SOS,2,False
SRD,2,False
SSP,2,False
STD,2,False
SVC,2,False
SYP,2,False
SZL,2,False
THB,2,False
TJS,2,False
TMT,2,False
TND,3,False
TOP,2,False
TRL,0,False
TRY,2,False
TTD,2,False
TWD,2,False
TZS,2,False
UAH,2,False
UGX,0,False
USD,2,False
USN,2,False
UYI,0,False
UYU,2,False
UZS,2,False
VEF,2,False
VND,0,False
VUV,0,False
WST,2,False
XAF,0,False
XCD,2,False
XDR,0,False
XOF,0,False
XPF,0,False
XSU,0,False
XUA,0,False
YER,2,False
ZAR,2,False
ZMW,2,False
ZWD,2,False
ZWL,2,False
XRP,6,True
BCH,8,True
